VaccinationName
COVID-19 Vaccine
Vaccine with a particularly long name which should no longer be truncated
AstraZeneca
Moderna
Another vaccine
Vaccine 1
Vaccine 2
Vaccine 3
Vaccine 4
Vaccine 5
Vaccine 6
Vaccine 7
Vaccine 8
Vaccine 9
Vaccine 10
Vaccine 11
Vaccine 12
Vaccine 13
Vaccine 14
Vaccine 15
Vaccine 16
Vaccine 17
Vaccine 18
Vaccine 19
Vaccine 20
Vaccine 21
Vaccine 22
Vaccine 23
Vaccine 24
Vaccine 25
Vaccine 26
Vaccine 27
Vaccine 28
Vaccine 29
Vaccine 30
Vaccine 31
Vaccine 32
Vaccine 33
Vaccine 34
Vaccine 35
Vaccine 36
Vaccine 37
Vaccine 38
Vaccine 39
Vaccine 40
Vaccine 41
Vaccine 42
Vaccine 43
Vaccine 44
Vaccine 45
Vaccine 46
Vaccine 47
Vaccine 48
Vaccine 49
Vaccine 50
Vaccine 1
Vaccine 2
Vaccine 3
Vaccine 4
Vaccine 5
Vaccine 6
Vaccine 7
Vaccine 8
Vaccine 9
Vaccine 10
Vaccine 11
Vaccine 12
Vaccine 13
Vaccine 14
Vaccine 15
Vaccine 16
Vaccine 17
Vaccine 18
Vaccine 19
Vaccine 20
Vaccine 21
Vaccine 22
Vaccine 23
Vaccine 24
Vaccine 25
Vaccine 26
Vaccine 27
Vaccine 28
Vaccine 29
Vaccine 30
Vaccine 31
Vaccine 32
Vaccine 33
Vaccine 34
Vaccine 35
Vaccine 36
Vaccine 37
Vaccine 38
Vaccine 39
Vaccine 40
Vaccine 41
Vaccine 42
Vaccine 43
Vaccine 44
Vaccine 45
Vaccine 46
Vaccine 47
Vaccine 48
Vaccine 49
Vaccine 50
Vaccine 1
Vaccine 2
Vaccine 3
Vaccine 4
Vaccine 5
Vaccine 6
Vaccine 7
Vaccine 8
Vaccine 9
Vaccine 10
Vaccine 11
Vaccine 12
Vaccine 13
Vaccine 14
Vaccine 15
Vaccine 16
Vaccine 17
Vaccine 18
Vaccine 19
Vaccine 20
Vaccine 21
Vaccine 22
Vaccine 23
Vaccine 24
Vaccine 25
Vaccine 26
Vaccine 27
Vaccine 28
Vaccine 29
Vaccine 30
Vaccine 31
Vaccine 32
Vaccine 33
Vaccine 34
Vaccine 35
Vaccine 36
Vaccine 37
Vaccine 38
Vaccine 39
Vaccine 40
Vaccine 41
Vaccine 42
Vaccine 43
Vaccine 44
Vaccine 45
Vaccine 46
Vaccine 47
Vaccine 48
Vaccine 49
Vaccine 50
Vaccine 1
Vaccine 2
Vaccine 3
Vaccine 4
Vaccine 5
Vaccine 6
Vaccine 7
Vaccine 8
Vaccine 9
Vaccine 10
Vaccine 11
Vaccine 12
Vaccine 13
Vaccine 14
Vaccine 15
Vaccine 16
Vaccine 17
Vaccine 18
Vaccine 19
Vaccine 20
Vaccine 21
Vaccine 22
Vaccine 23
Vaccine 24
Vaccine 25
Vaccine 26
Vaccine 27
Vaccine 28
Vaccine 29
Vaccine 30
Vaccine 31
Vaccine 32
Vaccine 33
Vaccine 34
Vaccine 35
Vaccine 36
Vaccine 37
Vaccine 38
Vaccine 39
Vaccine 40
Vaccine 41
Vaccine 42
Vaccine 43
Vaccine 44
Vaccine 45
Vaccine 46
Vaccine 47
Vaccine 48
Vaccine 49
Vaccine 50
Vaccine 1
Vaccine 2
Vaccine 3
Vaccine 4
Vaccine 5
Vaccine 6
Vaccine 7
Vaccine 8
Vaccine 9
Vaccine 10
Vaccine 11
Vaccine 12
Vaccine 13
Vaccine 14
Vaccine 15
Vaccine 16
Vaccine 17
Vaccine 18
Vaccine 19
Vaccine 20
Vaccine 21
Vaccine 22
Vaccine 23
Vaccine 24
Vaccine 25
Vaccine 26
Vaccine 27
Vaccine 28
Vaccine 29
Vaccine 30
Vaccine 31
Vaccine 32
Vaccine 33
Vaccine 34
Vaccine 35
Vaccine 36
Vaccine 37
Vaccine 38
Vaccine 39
Vaccine 40
Vaccine 41
Vaccine 42
Vaccine 43
Vaccine 44
Vaccine 45
Vaccine 46
Vaccine 47
Vaccine 48
Vaccine 49
Vaccine 50

